10Percentile,90Percentile,Energy,Entropy,InterquartileRange,Kurtosis,Maximum,MeanAbsoluteDeviation,Mean,Median,Minimum,Range,RobustMeanAbsoluteDeviation,RootMeanSquared,Skewness,TotalEnergy,Uniformity,Variance,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum2DDiameterColumn,Maximum2DDiameterRow,Maximum2DDiameterSlice,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Autocorrelation,ClusterProminence,ClusterShade,ClusterTendency,Contrast,Correlation,DifferenceAverage,DifferenceEntropy,DifferenceVariance,Id,Idm,Idmn,Idn,Imc1,Imc2,InverseVariance,JointAverage,JointEnergy,JointEntropy,MCC,MaximumProbability,SumAverage,SumEntropy,SumSquares,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelZoneEmphasis,LargeAreaEmphasis,LargeAreaHighGrayLevelEmphasis,LargeAreaLowGrayLevelEmphasis,LowGrayLevelZoneEmphasis,SizeZoneNonUniformity,SizeZoneNonUniformityNormalized,SmallAreaEmphasis,SmallAreaHighGrayLevelEmphasis,SmallAreaLowGrayLevelEmphasis,ZoneEntropy,ZonePercentage,ZoneVariance,HighGrayLevelRunEmphasis,LongRunEmphasis,LongRunHighGrayLevelEmphasis,LongRunLowGrayLevelEmphasis,LowGrayLevelRunEmphasis,RunEntropy,RunLengthNonUniformity,RunLengthNonUniformityNormalized,RunPercentage,RunVariance,ShortRunEmphasis,ShortRunHighGrayLevelEmphasis,ShortRunLowGrayLevelEmphasis,Busyness,Coarseness,Complexity,Strength,DependenceEntropy,DependenceNonUniformity,DependenceNonUniformityNormalized,DependenceVariance,HighGrayLevelEmphasis,LargeDependenceEmphasis,LargeDependenceHighGrayLevelEmphasis,LargeDependenceLowGrayLevelEmphasis,LowGrayLevelEmphasis,SmallDependenceEmphasis,SmallDependenceHighGrayLevelEmphasis,SmallDependenceLowGrayLevelEmphasis,Label
34,102,7206976467,2.074165669,37,2.478275041,127,20.53602487,73.42953418,78,4,123,15.2053488,77.54579586,-0.644953576,7206976467,0.268265617,621.4539648,0.784152496,0.709943751,104.1364826,146.682723,164.4019465,164.477962,135.1036639,167.6961538,1198041.542,115.0216234,0.734644514,74254.27629,0.061979717,1198496,13.23162385,45.24158098,-4.370671468,4.085804794,0.021489553,0.818271731,0.365813236,1.031434028,0.27009863,0.82391927,0.821281316,0.989162722,0.948481526,-0.386767864,0.887267187,0.330623237,3.508852588,0.143662019,3.305249719,0.819113658,0.293365359,7.017705177,2.857434921,1.123376177,321515.2689,0.245300848,1.169272742,8.252705283,241955068.8,3444893659,21951248.33,0.524769786,359.6403565,0.228924479,0.488569031,4.760948012,0.221086366,5.213773105,0.00131081,241373071.7,11.40895423,17.17993646,264.1648032,2.04933137,0.180419729,4.668948966,109682.1785,0.248892547,0.358676272,8.812805405,0.487117294,4.843552751,0.105734163,3840.124858,1.22E-05,3.900801719,0.000148425,6.294993281,60996.67623,0.050894351,35.73456418,13.23495114,348.1195782,5192.668681,42.35952028,0.14761112,0.00638784,0.06679653,0.00173898,0
32,114,10771847796,2.157267248,45,2.435525346,138,24.94175915,79.24625438,84,0,138,19.07234332,84.76803574,-0.623963163,10771847796,0.246344027,905.6510494,0.802988439,0.668285414,107.0295064,160.155383,171.2337584,178.4628813,147.6279106,182.0823989,1498788.125,128.6029211,0.724257721,87448.25603,0.058345976,1499084,15.15369652,73.31099661,-8.25450692,5.441586421,0.027619419,0.847273832,0.38433738,1.079192249,0.297206847,0.818153868,0.814305072,0.988160709,0.946229217,-0.404134979,0.902884471,0.332102443,3.729013,0.137462499,3.407059489,0.850113219,0.275236622,7.458025999,2.916822871,1.472694684,369290.3889,0.23059192,1.522818879,17.71049457,220885657,3945036497,18950687.62,0.319443439,661.0474467,0.265801145,0.527666938,9.90177451,0.151384998,5.15122239,0.001659013,220522327.8,12.18057636,20.15110311,399.5378796,2.083071149,0.181234153,4.620335417,154337.5052,0.274580873,0.366097256,12.14450937,0.518416935,5.492039412,0.105144174,3897.95197,1.10E-05,3.761513665,0.000131712,6.170254421,82974.84909,0.055350367,39.17250291,15.15423886,344.7743435,6241.670836,42.01236313,0.150027155,0.006867704,0.087359077,0.001563728,0
38,126,11841530365,2.387936455,51,2.41364648,159,27.28070549,87.67789867,93,2,157,20.44265882,93.64767171,-0.580299512,11841530365,0.211543831,1082.472502,0.810851687,0.69014762,104.7746886,151.8148951,157.5436447,169.9235122,143.9513807,173.8648901,1349861.417,123.0993637,0.742731162,79526.51205,0.058914575,1350249,18.04463382,116.2351822,-9.300659565,6.711844049,0.027383857,0.848682031,0.452352216,1.171276179,0.338426249,0.788975308,0.783438499,0.989286206,0.944763932,-0.38583178,0.912164557,0.376467524,4.062488338,0.097582522,3.827310513,0.85128789,0.206400746,8.124976676,3.232632947,1.815159329,285636.8466,0.203050973,1.856682924,14.93351911,150649429.8,2997271982,10254123.92,0.393102909,575.2300955,0.228992872,0.487461707,8.164512419,0.164661516,5.511072782,0.001860398,150360502.6,16.02143589,12.16621125,249.8327571,1.629405672,0.136828737,4.663370059,175095.2226,0.302837406,0.419095464,6.09842909,0.552176444,8.002734883,0.082292974,2945.287661,1.21E-05,5.830153577,0.000196085,6.677665182,64112.58398,0.047482045,36.05069863,18.07279324,295.3739888,6059.593094,36.65266396,0.129064917,0.008229822,0.124284143,0.001587774,0
21,83,8131688878,1.883176824,35,2.164036672,105,18.74134377,57.6858623,63,3,102,14.47827526,61.83062998,-0.572006742,6315544586,0.2904799,495.3680939,0.82036695,0.69675888,112.3778697,161.2865984,183.9548647,184.2462977,151.3864082,188.4920411,1651774.559,132.3141949,0.709933114,95184.7132,0.057625729,1651974.969,8.996899612,28.09388473,-3.319904438,3.488643643,0.021968576,0.841891592,0.280979709,0.892725983,0.217937818,0.862532393,0.861336884,0.988638869,0.953603392,-0.44584497,0.89762262,0.26520651,2.863481874,0.177472742,2.905129219,0.842402297,0.295926061,5.726963747,2.582013418,0.946972684,617859.1703,0.284216754,0.966203136,7.33557047,876387744.2,8710867955,142623310.2,0.445203207,341.5919463,0.22925634,0.487699528,4.077429541,0.178286917,5.014767825,0.000700508,874349884.5,7.41869742,31.75627114,355.0269866,6.176299314,0.278429578,4.768623331,121860.4852,0.195722255,0.284535631,18.29809918,0.409939437,2.535822551,0.132750547,9999.905722,7.39E-06,2.239776043,6.19E-05,5.834835565,152730.28,0.071804512,34.68006675,9.034419371,418.921356,4231.383163,89.50799602,0.237754201,0.004540988,0.033548133,0.001467461,0
34,114,8706836373,2.097207502,42,2.345869611,136,23.70122989,80.63466184,86,6,130,17.79849566,85.58857578,-0.601176228,8706836373,0.259229089,823.4556145,0.861986588,0.65849804,95.45471688,144.95824,166.5082581,163.6001222,140.9113196,167.728948,1188340.292,124.9520588,0.72414465,74923.72249,0.063049047,1188581,15.36216659,62.68404948,-7.610582063,4.896780302,0.024084411,0.841148893,0.36406808,1.050858454,0.285329113,0.827339821,0.823732117,0.988853561,0.949008757,-0.408790043,0.899554633,0.315846836,3.774035247,0.149484899,3.295981747,0.843947723,0.265188701,7.548070494,2.837901333,1.329630115,308114.7701,0.235941509,1.38359262,11.91121495,241926270.1,4309550707,17725411.25,0.494573691,356.9599466,0.238291019,0.499695882,6.73946638,0.214713008,5.302729708,0.001260326,241296714.7,12.07868828,22.53009862,448.1306823,1.929718704,0.175216002,4.63771026,112524.3015,0.264439093,0.349809239,13.77582301,0.509779078,5.152220301,0.104207966,3060.480741,1.37E-05,3.682027334,0.000168411,6.079197146,69817.89011,0.05874054,40.86844479,15.33403108,361.4560295,6595.123239,36.39845956,0.134673705,0.006357989,0.073381423,0.001571484,0
32,126,13321863477,2.407579631,55,2.080853549,192,28.29267756,86.44690401,93,1,191,22.09842546,92.73480485,-0.48768433,11075523683,0.205920752,1126.676817,0.807061663,0.690385534,103.3434646,149.6894989,152.6938324,170.5160853,144.9557141,173.5101913,1287699.919,120.8086558,0.730098189,78399.38068,0.060883269,1287889.924,17.74215734,115.1559453,-8.269901506,7.074944934,0.021018375,0.859128413,0.447148993,1.15857717,0.329664998,0.79057218,0.785252396,0.991897968,0.951284521,-0.398987846,0.919106437,0.375247527,4.013383889,0.095988812,3.832847093,0.862918517,0.200292191,8.026767778,3.258104745,1.902623878,318991.8371,0.19545184,1.944563479,11.34051724,232334765.9,4523306957,17172965.9,0.52424347,393.1484674,0.188289496,0.434628395,5.181497876,0.22280184,5.660008144,0.001347879,231784341.2,15.42915875,12.2523698,254.6407297,1.267946952,0.152483296,4.707022878,198347.9563,0.300657264,0.416318359,6.080495242,0.549943421,7.525297442,0.093300248,2594.027023,1.10E-05,8.27975485,0.000254856,6.693823134,73156.93216,0.047225442,35.53329945,17.76376412,297.1873036,6107.314076,31.45414462,0.130624592,0.00760023,0.106656913,0.001651622,0
40,115,12757368328,2.024297488,39,2.485738133,144,22.2122745,83.02909333,87,2,142,16.48226404,87.37509162,-0.617458666,10619755526,0.274238942,740.5762973,0.801734281,0.699213657,107.2047003,153.3218055,171.3623893,174.029499,145.7113623,177.1165978,1390717.158,122.9233475,0.723799534,83245.04021,0.059857635,1391038.758,15.9082428,49.58751066,-6.269311137,4.286483205,0.020116544,0.838087133,0.334910028,0.997928155,0.261330298,0.839389405,0.836744915,0.989995299,0.952898343,-0.419330928,0.897914254,0.299628878,3.864039714,0.164225533,3.159406523,0.842665671,0.28018698,7.728079428,2.748062933,1.165849994,458263.1449,0.246292389,1.213247445,10.12621359,389176558.6,7044752318,26861831.24,0.600751859,387.2626469,0.19788587,0.450480773,5.122135058,0.255547972,5.370949924,0.00117113,388447453.8,12.56642004,26.54472096,541.7473677,1.875170877,0.15364824,4.705048794,134281.7155,0.239312868,0.327103297,16.42138437,0.474350478,4.913939513,0.089732227,4113.646477,9.73E-06,3.56311488,0.000122393,5.946035102,105477.7998,0.063121201,38.49213082,15.88336278,380.5687813,7065.543262,31.27022318,0.112671387,0.005666872,0.066767658,0.001374987,0
31,112,11210144536,2.114828859,45,2.280567154,206,23.79963884,78.87264339,85,1,205,18.33719614,83.92753497,-0.61729879,9331783117,0.254196375,822.9372501,0.781546065,0.666696858,103.1067235,154.6530815,158.9782991,173.0709043,142.2169155,178.0037064,1324555.482,120.8685072,0.718998038,81121.60267,0.061244398,1324816.417,15.01119978,67.63219248,-7.96408567,5.175103176,0.010400028,0.847895592,0.36277246,1.055286858,0.29003683,0.828742964,0.824873426,0.994871809,0.964286518,-0.420938048,0.906820955,0.310867356,3.718027686,0.147916744,3.306967418,0.852914085,0.258550062,7.436055372,2.850387932,1.400130746,404549.4643,0.235575616,1.442460994,7.379371666,376862389.3,6597412045,29116599.51,0.618677667,376.478364,0.223164413,0.479415511,4.175004135,0.266989328,5.10204307,0.001060017,375972421.3,11.56085803,24.07068837,480.6204763,2.191647063,0.186506302,4.622747439,147477.9335,0.262632898,0.345216066,15.0980853,0.509289547,4.837174857,0.110015317,2114.034489,1.04E-05,10.98430847,0.000428804,6.032222119,97429.97022,0.061219573,41.8504615,15.01540009,366.7288179,6610.450593,40.56244387,0.14474518,0.006269472,0.066023517,0.001679078,0
32,110,7630479338,2.170587388,43,2.425254968,144,23.64931994,75.53059435,79,2,142,17.7878528,80.79803385,-0.563476131,7630479338,0.238128968,823.451591,0.837432203,0.706014333,100.0758275,141.7475861,158.757677,161.9135572,133.8693393,164.7057983,1168584.917,118.7039934,0.748303897,71698.97856,0.061355386,1168827,14.07556716,68.15408311,-6.618724819,5.250916692,0.026194476,0.8480992,0.375131076,1.058636287,0.286301234,0.821328111,0.818029231,0.988608703,0.947388901,-0.411168273,0.907378791,0.330246749,3.587559163,0.124709717,3.422512907,0.849434206,0.214512849,7.175118325,2.946090355,1.420518379,278331.5671,0.243148838,1.449084949,9.86405959,199661481.5,3166305960,19175780.52,0.488749741,356.8299193,0.221495915,0.480168667,5.466848585,0.20770314,5.392506697,0.001378305,199135089.4,11.87723823,18.54302024,318.9214053,2.879856546,0.170939576,4.625312582,113159.9574,0.260869138,0.36187128,10.31613193,0.500513718,5.226141463,0.094604818,3462.148004,1.39E-05,3.771915399,0.000165428,6.272167568,65028.78587,0.055635937,37.28539963,14.10248651,346.7408787,5629.821523,52.71674087,0.159092357,0.006472644,0.072470545,0.001547802,0
32,114,7977635137,2.200157694,45,2.318346955,153,24.64850365,77.94750037,82,2,151,18.75140709,83.43542079,-0.499790306,7977635137,0.238781466,885.6566284,0.798673663,0.686831851,99.62483673,145.0498205,152.5909565,161.9135572,138.5388032,165.293678,1145714.625,115.8474715,0.725646796,72969.79849,0.063689331,1145970,14.6850495,68.83857469,-6.73750169,5.320398046,0.020219198,0.833365746,0.407022149,1.113718735,0.31259199,0.808602536,0.804066852,0.990538445,0.950158206,-0.386815094,0.89855251,0.345590634,3.670915651,0.124682177,3.518163061,0.838465239,0.231982706,7.341831302,2.990226659,1.450830033,273636.3966,0.22891441,1.491862849,16.77598829,150470707.1,2533103445,12479665.96,0.375146197,467.2440215,0.22803515,0.48587077,8.616238741,0.161662174,5.398851652,0.001788005,150157910.1,12.10192265,17.40040824,331.4965549,1.820447417,0.180224034,4.589585999,128449.6079,0.285316824,0.384221832,10.1708978,0.53214441,5.676863774,0.106029652,2494.876577,1.40E-05,5.928165597,0.000241447,6.314757792,59274.29431,0.051724124,39.107577,14.70614763,328.4555826,5748.493624,39.94740457,0.150806638,0.007308717,0.090812342,0.00169657,0
